,walk number,walk length,p,q,accuracy,f1_micro,f1_macro
0,60.0,9.0,1.0,0.1,0.7605423930859782,0.7605423930859782,0.7316964538452151
1,60.0,9.0,5.0,0.1,0.7489196841007302,0.7489196841007302,0.724003969321329
2,60.0,9.0,10.0,0.1,0.7486216659216213,0.7486216659216213,0.7294958594594938
3,60.0,9.0,1.0,0.5,0.7545820295037998,0.7545820295037998,0.7362122391187164
4,60.0,9.0,5.0,0.5,0.7244821934137983,0.7244821934137983,0.6596505437004383
5,60.0,9.0,10.0,0.5,0.7645656385039487,0.7645656385039487,0.7438005501519972
6,60.0,9.0,1.0,1.0,0.7477276113842944,0.7477276113842944,0.7251862834040942
7,60.0,9.0,5.0,1.0,0.7666517657577113,0.7666517657577113,0.7411863886589728
8,60.0,9.0,10.0,1.0,0.7447474295932052,0.7447474295932052,0.7204193101234025
