,walk number,walk length,p,q,accuracy,f1_micro,f1_macro
0,20.0,6.0,1.0,1.0,0.5298763224556698,0.5298763224556698,0.4688410868033337
1,40.0,6.0,1.0,1.0,0.7079421844732529,0.7079421844732531,0.6799726317143203
2,60.0,6.0,1.0,1.0,0.7454924750409774,0.7454924750409774,0.7259758907953913
3,80.0,6.0,1.0,1.0,0.7416182387125615,0.7416182387125615,0.7141929333225397
4,100.0,6.0,1.0,1.0,0.7669497839368201,0.7669497839368202,0.7465614958814416
5,120.0,6.0,1.0,1.0,0.7626285203397408,0.7626285203397406,0.7365143505122954
