,walk number,walk length,p,q,accuracy,f1_micro,f1_macro
0,60.0,9.0,1.0,0.01,0.7495157204589479,0.7495157204589479,0.7230093016725543
1,60.0,9.0,1.0,0.1,0.7419162568916704,0.7419162568916704,0.6959588622508067
2,60.0,9.0,1.0,0.5,0.7620324839815229,0.7620324839815229,0.7420933115986887
3,60.0,9.0,1.0,1.0,0.7547310385933542,0.7547310385933542,0.7342019951212336
4,60.0,9.0,1.0,5.0,0.7273133661153329,0.7273133661153331,0.7055082544101476
5,60.0,9.0,1.0,10.0,0.679928475637014,0.679928475637014,0.6259035361636021
6,60.0,9.0,1.0,50.0,0.6694978393682015,0.6694978393682015,0.64852255524694
