,walk number,walk length,p,q,accuracy,f1_micro,f1_macro
0,60.0,9.0,0.01,1.0,0.5707048129935927,0.5707048129935927,0.5024928287132281
1,60.0,9.0,0.1,1.0,0.7161376843987483,0.7161376843987483,0.6618126947712548
2,60.0,9.0,0.5,1.0,0.7386380569214722,0.7386380569214722,0.7170553161053986
3,60.0,9.0,1.0,1.0,0.75592311130979,0.7559231113097898,0.7345169004780892
4,60.0,9.0,5.0,1.0,0.7527939204291462,0.7527939204291462,0.7277391027540924
5,60.0,9.0,10.0,1.0,0.7545820295037998,0.7545820295037996,0.7276644889888724
6,60.0,9.0,50.0,1.0,0.7538369840560275,0.7538369840560275,0.70749832810663
